,Unnamed: 0,序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
2052,3,4.0,3007,直真科技,10.014947891235352,29.44,477011568.0,1086096270.0800002,3061760000.0,44.09822463989258,42422745.0,92500,112709,6.0,12/6,5.0,软件开发,20220224
2090,3,4.0,3007,直真科技,9.98641300201416,32.38,548808432.0,1194558329.66,3367520000.0000005,46.52327728271485,56936344.0,92500,141742,6.0,13/7,6.0,软件开发,20220225
2178,31,32.0,3007,直真科技,10.006176948547363,35.62,787984992.0,1314087946.34,3704480000.0,63.73810195922852,25918893.0,102339,144921,9.0,14/8,7.0,软件开发,20220228
2383,74,75.0,3007,直真科技,10.0,34.43,699363184.0,1270186636.51,3580720000.0,59.22271347045898,31721047.0,145642,145642,0.0,17/9,1.0,软件开发,20220303
2740,38,39.0,3007,直真科技,10.01558780670166,28.23,510703360.0,1041457123.11,2935920000.0,51.248497009277344,4962834.0,135218,145506,8.0,17/9,1.0,软件开发,20220314
3888,56,57.0,3007,直真科技,10.012836456298828,25.71,284066528.0,948489643.47,2673840000.0,30.6823673248291,27077643.0,105242,111921,1.0,1/1,1.0,软件开发,20220406
4125,62,63.0,3007,直真科技,10.012110710144045,27.25,410555168.0,1005303103.25,2834000000.0,42.55012130737305,13874337.0,134527,135227,3.0,1/1,1.0,软件开发,20220412
4226,14,15.0,3007,直真科技,10.00400161743164,27.49,187666123.0,1014157148.93,2858960000.0,18.914854049682617,81042141.0,93421,93421,0.0,3/2,1.0,软件开发,20220414
5317,58,59.0,3007,直真科技,9.994683265686035,20.69,176840700.0,763292521.33,2151760000.0,24.291404724121094,40401363.0,103918,103918,0.0,1/1,1.0,软件开发,20220506
6055,17,18.0,3007,直真科技,10.0,23.21,73021296.0,856260000.97,2413840000.0,8.597344398498535,48255446.0,93024,93024,0.0,1/1,1.0,软件开发,20220518
10156,10,11.0,3007,直真科技,10.00535011291504,20.56,66363837.0,758496579.92,2138240000.0,8.804720878601074,31472734.0,93300,93300,0.0,1/1,1.0,软件开发,20220804
940,9,10.0,3029,吉大正元,10.004446983337402,24.74,58467520.0,2764045352.34,4611536000.0,2.1458053588867188,46927970.0,93239,93239,0.0,1/1,1.0,软件开发,20220124
990,3,4.0,3029,吉大正元,9.983831405639648,27.21,766938032.0,3040002992.61,5071944000.0,25.553422927856445,8892228.0,93039,145636,14.0,2/2,2.0,软件开发,20220125
1496,48,49.0,3029,吉大正元,9.995393753051758,23.88,323336816.0,2667962935.08,4451232000.0,12.554152488708496,24416655.0,132551,144512,1.0,1/1,1.0,软件开发,20220211
2461,31,32.0,3029,吉大正元,10.0,26.73,657256816.0,2986375596.93,4982472000.0,22.336902618408203,12218283.0,95539,145618,11.0,1/1,1.0,软件开发,20220307
8138,76,77.0,3029,吉大正元,10.02597427368164,21.18,110971196.0,2366308834.38,3947952000.0,4.8781352043151855,36526795.0,130000,130000,0.0,1/1,1.0,软件开发,20220624
10871,9,10.0,3029,吉大正元,10.014873504638672,22.19,184611767.0,2512081991.79,4136216000.0,7.393833160400391,7693273.0,93130,130339,1.0,1/1,1.0,软件开发,20220818
686,60,61.0,300047,天源迪科,20.0,10.08,989796288.0,5350637214.72,6428466293.76,19.860801696777344,83003014.0,101812,101812,0.0,1/1,1.0,软件开发,20220117
765,27,28.0,300047,天源迪科,20.039682388305664,12.1,3001633472.0,6422887926.4,7716710531.2,48.760047912597656,21247285.0,100021,150003,8.0,2/2,2.0,软件开发,20220118
3053,52,53.0,300074,华平股份,20.089284896850582,5.38,903852496.0,2856284636.5,2872343780.48,33.23419952392578,52163016.0,101515,144439,3.0,1/1,1.0,软件开发,20220318
669,43,44.0,300075,数字政通,20.0,27.72,1961227024.0,10882240261.2,13616518164.48,18.70021629333496,252315756.0,95333,95333,0.0,1/1,1.0,软件开发,20220117
3468,35,36.0,300209,天泽信息,19.9306755065918,6.92,192600572.0,2596184517.16,2920982709.76,7.6455888748168945,29694412.0,94306,94306,0.0,1/1,1.0,软件开发,20220325
5284,25,26.0,300209,天泽信息,19.91434669494629,5.6,137881572.0,2003558239.2,2363801036.8,7.133021354675293,26978840.0,93736,94921,2.0,1/1,1.0,软件开发,20220506
1259,36,37.0,300249,依米康,19.969970703125,7.99,367609792.0,2552842696.82,3495386834.08,15.086029052734377,46791821.0,95906,95906,0.0,1/1,1.0,软件开发,20220208
1770,13,14.0,300249,依米康,20.0,9.78,705272960.0,3124756142.04,4278458477.76,22.88451766967773,76522143.0,93100,93427,2.0,1/1,1.0,软件开发,20220218
1815,6,7.0,300249,依米康,20.0408992767334,11.74,60571778.0,3750985389.32,5135900054.08,1.6148231029510498,287488697.0,92503,92503,0.0,2/2,2.0,软件开发,20220221
1932,22,23.0,300249,依米康,20.01703453063965,14.09,2239515136.0,4501821476.62,6163955005.28,50.251102447509766,123140259.0,93203,133021,17.0,3/3,3.0,软件开发,20220222
2002,42,43.0,300249,依米康,20.01419448852539,16.91,2148559280.0,5402824781.38,7397620946.72,43.95529556274414,94369637.0,95800,100100,2.0,4/4,4.0,软件开发,20220223
2545,42,43.0,300249,依米康,19.97614860534668,20.12,2553964848.0,6428434926.16,8801900263.04,45.33000946044922,125542764.0,143315,143315,0.0,1/1,1.0,软件开发,20220309
10362,91,92.0,300378,鼎捷软件,20.0,21.9,518991088.0,5822664755.7,5835065630.7,9.57105541229248,45317232.0,140300,140300,0.0,1/1,1.0,软件开发,20220808
907,25,26.0,300380,安硕信息,19.97956085205078,23.48,529686096.0,2966822608.36,3310908930.0,18.55238151550293,28903880.0,95051,140854,2.0,1/1,1.0,软件开发,20220121
1494,46,47.0,300468,四方精创,19.98045921325684,24.56,1438287600.0,6935513479.839999,6957628335.36,21.60981750488281,19288588.0,132351,145251,6.0,1/1,1.0,软件开发,20220211
2156,9,10.0,300468,四方精创,20.01987075805664,24.16,600765968.0,6822557234.24,6844311912.96,8.805583000183105,178986050.0,92503,92503,0.0,1/1,1.0,软件开发,20220228
2179,32,33.0,300542,新晨科技,20.03046417236328,15.76,393448672.0,3789342484.88,4728883568.64,11.08824634552002,68048260.0,104000,104000,0.0,1/1,1.0,软件开发,20220228
2208,16,17.0,300542,新晨科技,19.987308502197266,18.91,683619424.0,4546730100.83,5674060170.24,16.054485321044922,116066365.0,93806,93806,0.0,2/2,2.0,软件开发,20220301
10631,42,43.0,300542,新晨科技,20.0,13.74,322289952.0,3303652648.62,4122770319.36,10.43304443359375,59735625.0,112503,112503,0.0,1/1,1.0,软件开发,20220812
6384,93,94.0,300550,和仁科技,20.0,14.34,318845840.0,3746923738.02,3798460665.54,8.82125473022461,18410695.0,143227,143227,0.0,1/1,1.0,软件开发,20220523
7075,33,34.0,300552,万集科技,20.01075935363769,22.31,133281733.0,2468790844.97,4754999728.719999,5.660677433013916,24190733.0,94412,94412,0.0,1/1,1.0,软件开发,20220606
822,41,42.0,300561,汇金科技,20.016077041625977,14.93,462222384.0,2609366578.33,4898651962.24,19.37784194946289,91108518.0,112245,112245,0.0,1/1,1.0,软件开发,20220119
5945,71,72.0,300561,汇金科技,20.0,10.8,155075013.0,1887566684.4,3543566054.4,8.735773086547852,30900301.0,112906,112906,0.0,1/1,1.0,软件开发,20220516
702,76,77.0,300579,数字认证,20.00957489013672,50.14,964094000.0,8748640194.72,9025200000.0,11.683974266052246,51026224.0,110451,110451,0.0,1/1,1.0,软件开发,20220117
868,29,30.0,300588,熙菱信息,20.0,18.3,415931744.0,1921646400.0,3540702849.0,23.31447982788086,70034466.0,105742,105742,0.0,1/1,1.0,软件开发,20220120
2546,43,44.0,300588,熙菱信息,19.98743057250977,19.09,699795232.0,2004602720.0,3693552862.7,38.559173583984375,56844293.0,144433,144433,0.0,1/1,1.0,软件开发,20220309
5322,63,64.0,300598,诚迈科技,19.98862648010254,42.2,371774896.0,6753108636.200001,6754404640.400001,5.923469066619873,39605712.0,105103,105103,0.0,1/1,1.0,软件开发,20220506
2008,48,49.0,300605,恒锋信息,20.021821975708008,22.0,945063696.0,2478585450.0,3620421728.0,40.30176162719727,10093930.0,102124,133439,6.0,1/1,1.0,软件开发,20220223
8245,78,79.0,300799,左江科技,19.99422836303711,83.18,608218656.0,2714464927.5,8492678000.000001,23.2616024017334,1171257.0,130003,145651,7.0,1/1,1.0,软件开发,20220627
7587,50,51.0,300803,指南针,19.996150970458984,62.35,1637915872.0,13834119736.4,25331619851.2,12.479365348815918,165090330.0,112630,112630,0.0,1/1,1.0,软件开发,20220615
1662,22,23.0,301117,佳缘科技,20.0,72.24,524464240.0,1430656058.1599998,6665100792.0,37.71772003173828,64797401.0,93636,101448,3.0,1/1,1.0,软件开发,20220216
1646,6,7.0,301159,三维天地,20.00473022460937,50.75,143288423.0,982012500.0,3925512500.0,14.606578826904297,120922887.0,93003,93003,0.0,1/1,1.0,软件开发,20220216
2784,10,11.0,301178,天亿马,20.0,61.62,109482679.0,725760360.0,2903041440.0,15.160545349121094,75440811.0,93006,93006,0.0,1/1,1.0,软件开发,20220316
6455,25,26.0,301185,鸥玛软件,19.98830986022949,20.53,246894324.0,787530800.0,3149663328.0,32.02317428588867,20032866.0,93503,102533,1.0,1/1,1.0,软件开发,20220525
