,序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
7,8,603881,数据港,10.005589485168457,39.36,69609538,5031961802.88,8288684954.88,1.3833478689193726,86944862400,092503,092503,0,1/1,1,软件服务
8,9,600117,西宁特钢,10.091742515563965,3.6,67297741,3762425707.2000003,3762425721.6,1.788679599761963,16635434400,092511,092511,0,1/1,1,钢铁行业
9,10,002652,扬子新材,10.0,4.4,52906381,1967400534.0000002,2253081600.0,2.713463306427002,36024925200,093003,093003,0,2/2,2,金属制品
10,11,603023,威帝股份,10.096153259277344,4.58,33654086,2040733701.52,2040733683.2,1.6544820070266724,39639625200,093041,093041,0,1/1,1,汽车行业
11,12,600277,亿利洁能,10.052909851074219,4.16,61549177,11123861153.6,11393990999.04,0.5609927773475647,34165185600,093121,093121,0,1/1,1,化工行业
12,13,000815,美利云,10.064934730529785,6.78,30221413,4713883377.3,4713883411.2,0.6557660698890686,37761888000,093139,093139,0,1/1,1,造纸印刷
13,14,300410,正业科技,10.041841506958008,7.89,98291672,2816126257.2,3008379867.3599997,3.527428150177002,27045389340,093812,093812,0,1/1,1,电子元件
14,15,600242,中昌数据,9.938838005065918,7.19,72188890,2964337655.77,3283422212.8,2.5045950412750244,27883107600,093825,093825,0,1/1,1,软件服务
15,16,002907,华森制药,9.988385200500488,18.94,295529664,1173530941.94,7605285179.52,25.597522735595703,45976850000,093903,095900,4,3/3,3,医药制造
16,17,603701,德宏股份,10.0,12.32,86231733,2476906629.12,2512783848.96,3.5801708698272705,28297044160,094318,094318,0,1/1,1,机械行业
17,18,603083,剑桥科技,10.020618438720703,26.68,250325187,2298963307.2,4466606293.72,11.10741138458252,29128957200,094827,094827,0,1/1,1,通讯行业
18,19,000038,深大通,9.982332229614258,12.45,277048720,2883060680.5499997,6508578928.799999,9.803750038146973,17380299600,095200,100012,4,1/1,1,文化传媒
19,20,300317,珈伟新能,9.923664093017578,4.32,52592868,2834909798.4,3627656962.5600004,1.8864003419876099,25105360320,100345,100345,0,1/1,1,电子元件
20,21,000426,兴业矿业,10.096153259277344,4.58,136618147,5949271401.9,8414340385.92,2.362837314605713,17834419240,103257,103257,0,1/1,1,有色金属
21,22,002783,凯龙股份,9.969788551330566,10.92,130781932,3395803483.8,4043298255.36,3.979944944381714,29421450240,104306,104306,0,1/1,1,化工行业
22,23,300203,聚光科技,10.01430606842041,15.38,407441888,6943514782.0,6959717735.04,6.032644271850586,19953412180,112436,143606,5,1/1,1,仪器仪表
23,24,600860,京城股份,10.099010467529297,5.56,29657347,1790319999.9999998,2346320000.0,1.7176775932312012,18133156040,112921,112921,0,1/1,1,机械行业
24,25,002873,新天药业,10.0,16.28,71328093,1001865729.9200001,1906322880.0000002,7.295983791351318,10603164000,130918,130918,0,1/1,1,医药制造
25,26,300345,红宇新材,9.94694995880127,8.29,432912288,2649247502.8799996,3658339595.5199995,17.141117095947266,41639376760,132248,132457,2,2/2,2,金属制品
26,27,300643,万通智控,10.0,14.19,308023600,1188198812.79,2838000000.0,27.344684600830078,35037948000,133115,133115,0,3/3,3,汽车行业
27,28,300241,瑞丰光电,10.0,6.49,392998448,2709009519.81,3470494790.4,14.857584953308105,9826502510,133236,140009,5,1/1,1,电子元件
28,29,603982,泉峰汽车,10.012516021728516,17.58,96006379,878999999.9999999,3515999999.9999995,11.398994445800781,40434000000,134033,134033,0,1/1,1,汽车行业
29,30,603197,保隆科技,9.988776206970215,29.4,304254960,2893009333.2,4882691641.8,11.093599319458008,32943288000,140452,140452,0,1/1,1,汽车行业
30,31,000622,恒立实业,10.022271156311035,4.94,101654530,2100616440.0000002,2100616440.0000002,5.035128593444824,31654971660,142521,142521,0,1/1,1,机械行业
31,32,300510,金冠股份,9.937888145446777,7.08,269398112,3577262061.2400002,6250825743.36,7.801581382751465,10240710240,143121,144054,1,1/1,1,输配电气
32,33,603157,拉夏贝尔,9.976798057556152,4.74,112886934,691106347.98,2595963611.52,17.302534103393555,12403186440,143212,143248,1,1/1,1,纺织服装
33,34,300526,中潜股份,10.0,46.09,97533177,7839989242.690001,7865757009.440001,1.2992429733276367,7649557300,143742,143742,0,1/1,1,专用设备
34,35,300661,圣邦股份,10.0,246.4,540040096,13787942291.2,25532454147.2,4.129755020141602,52055696000,143821,143821,0,1/1,1,电子元件
35,36,600213,亚星客车,10.0,8.36,91096052,1839199999.9999998,1839199999.9999998,5.190935134887695,10426592000,144329,144723,1,1/1,1,汽车行业
0,1,002968,新大正,9.992213249206543,42.38,3348020,759054067.46,3036216227.46,0.44107794761657715,184425046000,092503,092503,0,2/2,2,房地产
1,2,002969,嘉美包装,9.9827880859375,6.39,2644277,608731209.0,6087310403.04,0.43439170718193054,80809122150,092503,092503,0,3/3,3,包装材料
2,3,300798,锦鸡股份,9.987113952636719,17.07,7236126,713184600.0,7130974474.08,1.0146218538284302,92911856370,092503,092503,0,9/9,9,化工行业
3,4,300803,指南针,10.0,28.27,14888876,1608563000.0,11449350000.0,0.925601065158844,243869260910,092503,092503,0,13/13,13,软件服务
4,5,300806,斯迪克,10.017391204833984,31.63,20998176,923912300.0,3695613742.77,2.2727456092834473,134646727530,092503,092503,0,8/8,8,材料行业
5,6,300808,久量股份,9.979209899902344,21.16,11874187,846400000.0,3385600000.0,1.402904987335205,148666859040,092503,092503,0,4/4,4,电子元件
6,7,300809,N华辰,44.00639343261719,27.03,10695791,1060386900.0,4241547600.0,1.011017084121704,124653656340,092503,092503,0,1/1,1,机械行业
7,8,603023,威帝股份,10.043667793273926,5.04,25790360,2245698221.76,2245698201.6,1.1484339237213135,30935847600,092503,092503,0,2/2,2,汽车行业
8,9,600281,太化股份,10.091742515563965,4.8,55466744,2469129720.0,2469129753.6,2.2653462886810303,36777662400,093115,093115,0,2/2,2,化工行业
9,10,600199,金种子酒,10.088496208190918,6.22,120960625,3456920512.44,4091496295.04,3.5331802368164062,24715425020,093228,093228,0,1/1,1,酿酒行业
10,11,300643,万通智控,10.007046699523926,15.61,187077751,1307102429.01,3122000000.0,14.542609214782715,38786167000,093239,093412,1,4/4,4,汽车行业
11,12,603089,正裕工业,10.0,13.31,45778337,607063456.5600001,2058677665.0,7.619154453277588,19499748950,093450,093529,1,1/1,1,汽车行业
12,13,603982,泉峰汽车,10.01137638092041,19.34,300086896,967000000.0,3868000000.0,31.754396438598633,54136469980,093713,094852,1,2/2,2,汽车行业
13,14,002199,东晶电子,10.0,9.79,102649173,2383300733.77,2383300733.77,4.453315258026123,38939029910,094300,094300,0,1/1,1,电子元件
14,15,002442,龙星化工,10.099010467529297,5.56,496984528,2666310510.0,2668800000.0,19.04987335205078,24304984000,094503,133048,6,5/4,1,化工行业
15,16,002529,海源复材,10.071942329406738,6.12,25797618,1591200000.0,1591200000.0,1.6641876697540283,27649694880,095442,095442,0,1/1,1,专用设备
16,17,300317,珈伟新能,9.953703880310059,4.75,193946522,3117088320.0,3988743188.0,6.434535503387451,22301482750,095915,100939,1,2/2,2,电子元件
17,18,002370,亚太药业,9.968354225158691,6.95,163167263,3224523320.5,3728636524.8,5.207350254058838,36981645000,101309,102236,1,1/1,1,医药制造
18,19,600712,南宁百货,9.975062370300293,4.41,88334335,2373813613.71,2401930137.6,3.881469488143921,26457133500,101832,102802,1,1/1,1,商业百货
19,20,600860,京城股份,10.071942329406738,6.12,161017378,1970640000.0,2582640000.0,8.34998607635498,3223318320,102035,134248,10,2/2,2,机械行业
20,21,002009,天奇股份,9.943977355957031,7.85,131123320,2446680322.7,2908813104.0,5.406182765960693,40048274350,103627,143036,2,1/1,1,机械行业
21,22,603701,德宏股份,9.983766555786133,13.55,380633728,2724195196.8,2763654314.4,14.402064323425293,25834131900,131051,135952,2,2/2,2,机械行业
22,23,000603,盛达资源,9.991743087768555,13.32,352459904,7812352813.68,9190391662.08,4.647487163543701,33748710840,131339,131339,0,1/1,1,有色金属
23,24,600558,大西洋,9.967845916748047,3.42,77096598,3069808522.02,3069808525.44,2.589357852935791,37948757760,132118,132118,0,1/1,1,金属制品
24,25,002351,漫步者,10.0,17.38,1249003744,5063510056.0,10302255839.039999,25.76642417907715,59227494480,135348,142127,6,1/1,1,电子信息
25,26,300567,精测电子,10.007305145263672,45.18,788632272,7392042930.24,11087233941.78,11.005967140197754,40064404140,143027,143027,0,1/1,1,专用设备
26,27,300526,中潜股份,10.002169609069824,50.7,82235980,8624158268.7,8652503371.2,0.9944425225257874,11248707600,143830,143830,0,2/2,2,专用设备
27,28,002096,南岭民爆,10.016155242919922,6.81,79055099,2525502120.0,2528464524.48,3.255558729171753,20974800,145621,145621,0,1/1,1,化工行业
0,1,600712,南宁百货,9.977324485778809,4.85,13457615,2610656695.35,2641578496.0,0.5154877305030823,49993227700,092502,092502,0,2/2,2,商业百货
1,2,002968,新大正,10.004719734191895,46.62,2699298,834995295.54,3339981135.54,0.3232710361480713,192097710000,092503,092503,0,3/3,3,房地产
2,3,002969,嘉美包装,10.015649795532227,7.03,2075635,669699593.0,6696994074.08,0.3099353313446045,80369392380,092503,092503,0,4/4,4,包装材料
3,4,300798,锦鸡股份,10.017574310302734,18.78,6524303,784628400.0,7845325168.320001,0.8315150737762451,61622682540,092503,092503,0,10/10,10,化工行业
4,5,300803,指南针,10.010612487792969,31.1,105461997,1769590000.0,12595500000.0,5.959685325622559,281953812900,092503,092503,0,14/14,14,软件服务
5,6,300806,斯迪克,9.99051570892334,34.79,8261337,1016215900.0,4064824600.41,0.8129510283470154,241628274230,092503,092503,0,9/9,9,材料行业
6,7,300808,久量股份,10.018903732299805,23.28,4596473,931200000.0,3724800000.0,0.4936074912548065,73950246960,092503,092503,0,5/5,5,电子元件
7,8,300809,华辰装备,9.988901138305664,29.73,2435987,1166307900.0,4665231600.0,0.20886310935020447,89917284990,092503,092503,0,2/2,2,机械行业
8,9,300400,劲拓股份,10.035523414611816,12.39,21415964,2125694723.67,3023083182.0,1.01017427444458,44611322490,093003,093003,0,1/1,1,机械行业
9,10,300249,依米康,9.966216087341309,6.51,80228775,1988562502.5,2847930949.92,4.086207389831543,37858240980,093021,093021,0,4/2,1,软件服务
10,11,002848,高斯贝尔,10.025928497314453,12.73,62805065,1126322712.25,2127819500.0,5.684701442718506,34372273000,093524,093524,0,1/1,1,通讯行业
11,12,002416,爱施德,10.03184700012207,6.91,138867022,8453252140.05,8563437293.28,1.671600103378296,65807751230,093833,093833,0,1/1,1,商业百货
12,13,002903,宇环数控,10.030628204345703,14.37,50492003,948420000.0,2155500000.0,5.429392337799072,25663397370,093939,093939,0,1/1,1,机械行业
13,14,603023,威帝股份,9.920635223388672,5.54,356608192,2468485743.76,2468485721.6,14.661544799804688,10408662800,093957,134656,10,3/3,3,汽车行业
14,15,603773,沃格光电,10.006877899169922,31.99,67830483,2057830486.9499998,3026111836.44,3.3549904823303223,22757686000,094059,094059,0,1/1,1,电子元件
15,16,300552,万集科技,10.006901741027832,79.7,250457559,3766501015.4,8762026720.0,6.778262615203857,36367508500,094106,094521,2,1/1,1,软件服务
